1.0000000000000001e-05	-1.0000000000000000e+03	-1.0000000000000000e+03
3.0000000000000004e-05	-9.9999999906867743e+02	-9.9999999906867743e+02
5.0000000000000002e-05	-9.9999999813735485e+02	-9.9999999813735485e+02
7.0000000000000007e-05	-9.9999999720603228e+02	-9.9999999720603228e+02
9.0000000000000006e-05	-9.9999999627470970e+02	-9.9999999627470970e+02
1.1000000000000000e-04	-9.9999999534338713e+02	-9.9999999534338713e+02
1.3000000000000002e-04	-9.9999999441206455e+02	-9.9999999441206455e+02
1.5000000000000001e-04	-9.9999999348074198e+02	-9.9999999348074198e+02
1.7000000000000001e-04	-9.9999999254941940e+02	-9.9999999254941940e+02
1.9000000000000001e-04	-9.9999999161809683e+02	-9.9999999161809683e+02
2.1000000000000001e-04	-9.9999999068677425e+02	-9.9999999068677425e+02
2.3000000000000001e-04	-9.9999998975545168e+02	-9.9999998975545168e+02
2.5000000000000001e-04	-9.9999998882412910e+02	-9.9999998882412910e+02
2.7000000000000000e-04	-9.9999998789280653e+02	-9.9999998789280653e+02
2.9000000000000000e-04	-9.9999998696148396e+02	-9.9999998696148396e+02
3.1000000000000000e-04	-9.9999998603016138e+02	-9.9999998603016138e+02
3.3000000000000005e-04	-9.9999998509883881e+02	-9.9999998509883881e+02
3.5000000000000005e-04	-9.9999998416751623e+02	-9.9999998416751623e+02
3.7000000000000005e-04	-9.9999998323619366e+02	-9.9999998323619366e+02
3.9000000000000005e-04	-9.9999998230487108e+02	-9.9999998230487108e+02
4.1000000000000005e-04	-9.9999998137354851e+02	-9.9999998137354851e+02
4.3000000000000004e-04	-9.9999998044222593e+02	-9.9999998044222593e+02
4.5000000000000004e-04	-9.9999997951090336e+02	-9.9999997951090336e+02
4.7000000000000004e-04	-9.9999997857958078e+02	-9.9999997857958078e+02
4.9000000000000009e-04	-9.9999997764825821e+02	-9.9999997764825821e+02
5.1000000000000004e-04	-9.9999997671693563e+02	-9.9999997671693563e+02
5.3000000000000009e-04	-9.9999997578561306e+02	-9.9999997578561306e+02
5.5000000000000003e-04	-9.9999997485429049e+02	-9.9999997485429049e+02
5.7000000000000009e-04	-9.9999997392296791e+02	-9.9999997392296791e+02
5.9000000000000003e-04	-9.9999997299164534e+02	-9.9999997299164534e+02
6.1000000000000008e-04	-9.9999997206032276e+02	-9.9999997206032276e+02
6.3000000000000003e-04	-9.9999997112900019e+02	-9.9999997112900019e+02
6.5000000000000008e-04	-9.9999997019767761e+02	-9.9999997019767761e+02
6.7000000000000002e-04	-9.9999996926635504e+02	-9.9999996926635504e+02
6.9000000000000008e-04	-9.9999996833503246e+02	-9.9999996833503246e+02
7.1000000000000002e-04	-9.9999996740370989e+02	-9.9999996740370989e+02
7.3000000000000007e-04	-9.9999996647238731e+02	-9.9999996647238731e+02
7.5000000000000002e-04	-9.9999996554106474e+02	-9.9999996554106474e+02
7.7000000000000007e-04	-9.9999996460974216e+02	-9.9999996460974216e+02
7.9000000000000001e-04	-9.9999996367841959e+02	-9.9999996367841959e+02
8.1000000000000006e-04	-9.9999996274709702e+02	-9.9999996274709702e+02
8.3000000000000012e-04	-9.9999996181577444e+02	-9.9999996181577444e+02
8.5000000000000006e-04	-9.9999996088445187e+02	-9.9999996088445187e+02
8.7000000000000011e-04	-9.9999995995312929e+02	-9.9999995995312929e+02
8.9000000000000006e-04	-9.9999995902180672e+02	-9.9999995902180672e+02
9.1000000000000011e-04	-9.9999995809048414e+02	-9.9999995809048414e+02
9.3000000000000005e-04	-9.9999995715916157e+02	-9.9999995715916157e+02
9.5000000000000011e-04	-9.9999995622783899e+02	-9.9999995622783899e+02
9.7000000000000005e-04	-9.9999995529651642e+02	-9.9999995529651642e+02
9.8999999999999999e-04	-9.9999995436519384e+02	-9.9999995436519384e+02
1.0100000000000000e-03	-9.9999995343387127e+02	-9.9999995343387127e+02
1.0300000000000001e-03	-9.9999995250254869e+02	-9.9999995250254869e+02
1.0500000000000002e-03	-9.9999995157122612e+02	-9.9999995157122612e+02
1.0700000000000000e-03	-9.9999995063990355e+02	-9.9999995063990355e+02
1.0900000000000000e-03	-9.9999994970858097e+02	-9.9999994970858097e+02
1.1100000000000001e-03	-9.9999994877725840e+02	-9.9999994877725840e+02
1.1300000000000001e-03	-9.9999994784593582e+02	-9.9999994784593582e+02
1.1500000000000002e-03	-9.9999994691461325e+02	-9.9999994691461325e+02
1.1700000000000000e-03	-9.9999994598329067e+02	-9.9999994598329067e+02
1.1900000000000001e-03	-9.9999994505196810e+02	-9.9999994505196810e+02
1.2100000000000001e-03	-9.9999994412064552e+02	-9.9999994412064552e+02
1.2300000000000002e-03	-9.9999994318932295e+02	-9.9999994318932295e+02
1.2500000000000000e-03	-9.9999994225800037e+02	-9.9999994225800037e+02
1.2700000000000001e-03	-9.9999994132667780e+02	-9.9999994132667780e+02
1.2900000000000001e-03	-9.9999994039535522e+02	-9.9999994039535522e+02
1.3100000000000002e-03	-9.9999993946403265e+02	-9.9999993946403265e+02
1.3300000000000000e-03	-9.9999993853271008e+02	-9.9999993853271008e+02
1.3500000000000001e-03	-9.9999993760138750e+02	-9.9999993760138750e+02
1.3700000000000001e-03	-9.9999993667006493e+02	-9.9999993667006493e+02
1.3900000000000002e-03	-9.9999993573874235e+02	-9.9999993573874235e+02
1.4100000000000000e-03	-9.9999993480741978e+02	-9.9999993480741978e+02
